addressCountry,addressRegion,addressLocality,landAddress,landDetails,"landSquareGeneral, ha","landSquareGeneralAdditional, ha","landSquareParkingGeneral, ha","landSquareParkingFree, ha","placesGeneral, number","placesFree, number","dayOfWeek (1,2,3,4,5,6,7)",openHour,closeHour,additionalInfo,parkFee (hrn per hour),parkOperator,operatorUA_EDR,documentNumber,documentDate
Україна,Чернівецька,Чернівці,"вул. Небесної Сотні, 20 – 22",,"0,0207",N/A,"0,0079","0,0013",6,1,"1,2,3,4,5",09:00:00,15:00:00,,3,ПП Ілащук О.Г.,N/A,383/12,2013-07-23
Україна,Чернівецька,Чернівці,"вул. Небесної Сотні, 20 – 22",,"0,0207",N/A,"0,0128","0,0023",11,2,"1,2,3,4,5",09:00:00,15:00:00,,3,ПП Ілащук О.Г.,N/A,383/12,2013-07-23
Україна,Чернівецька,Чернівці,"вул. Небесної Сотні, 2 – 6",діагностичний центр,"0,0221",N/A,"0,011","0,0012",9,1,"1,2,3,4,5",09:00:00,17:00:00,,3,ПП Ілащук О.Г.,N/A,383/12,2013-07-23
Україна,Чернівецька,Чернівці,"вул. Небесної Сотні, 2 – 6",діагностичний центр,"0,0221",N/A,"0,0111","0,0012",9,1,"1,2,3,4,5",09:00:00,17:00:00,,3,ПП Ілащук О.Г.,N/A,383/12,2013-07-23
Україна,Чернівецька,Чернівці,"вул. Небесної Сотні, 24",будинок побуту,"0,048",N/A,"0,0268","0,0035",23,3,"1,2,3,4,5",09:00:00,18:00:00,,3,ПП Ілащук О.Г.,N/A,383/12,2013-07-23
Україна,Чернівецька,Чернівці,"вул. Небесної Сотні, 24",будинок побуту,"0,048",N/A,"0,0212","0,0023",18,2,"1,2,3,4,5",09:00:00,18:00:00,,3,ПП Ілащук О.Г.,N/A,383/12,2013-07-23
Україна,Чернівецька,Чернівці,"вул. Ентузіастів, 2-А",,"0,0169",N/A,"0,0169","0,0024",14,2,"2,3,4,5,6,7",09:00:00,18:00:00,,5,ПП Гнидюк М.М.,N/A,383/12,2013-07-23
Україна,Чернівецька,Чернівці,"проспект Незалежності, 109 ",біля квіткового ринку,"0,0599",N/A,"0,0599","0,0069",52,6,"1,2,3,4,5",09:00:00,18:00:00,,3,ПП Ілащук О.Г.,N/A,383/12,2013-07-23
Україна,Чернівецька,Чернівці,вул. В.Комарова ,біля ринку «Буковинський»,"0,03",N/A,"0,015","0,0023",13,2,"1,2,3,4,5,6,7",09:00:00,18:00:00,,3,СП «Ринок Буковинський»,25079273,383/12,2013-07-23
Україна,Чернівецька,Чернівці,вул. В.Комарова ,біля ринку «Буковинський»,"0,03",N/A,"0,015","0,0023",13,2,"1,2,3,4,5,6,7",09:00:00,18:00:00,,3,СП «Ринок Буковинський»,25079273,383/12,2013-07-23
